L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Hardware,05R/IntelliSpace IX/LX Workstations/mouse insensitivity,05R/IntelliSpace IX/LX Workstations/mouse insensitivity,,,
Hardware,05R/Extended Brilliance Workspace/add print,05R/Extended Brilliance Workspace/add print,,,
Hardware,01/IntelliSpace IX/LX Workstations/ask work sheet paper,01/IntelliSpace IX/LX Workstations/ask work sheet paper,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,10 GB Nic Cards for ISP Concerto,10 GB NIC Cards,,,
Hardware,SA:01/IntelliSpace IX/LX Workstations/RW DVD fault,SA:01/IntelliSpace IX/LX Workstations/RW DVD fault,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/cannot record disk,SA:05R/IntelliSpace Portal Solutions/cannot record disk,,,
Hardware,01/IntelliSpace IX/LX Workstations//Need mouse,01/IntelliSpace IX/LX Workstations//Need mouse,,,
Hardware,01/Extended Brilliance Workspace/cannot power on,01/Extended Brilliance Workspace/cannot power on,,,
Hardware,01/IntelliSpace IX/LX Workstations/add printer,01/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,SA:01/IntelliSpace Portal Solutions/cannot record disk,SA:01/IntelliSpace Portal Solutions/cannot record disk,,,
Hardware,05R/IntelliSpace Portal Solutions/monitor,05R/IntelliSpace Portal Solutions/monitor,,,
Hardware,"Dear PMS, Please see below service request.

System Name:   Intellispace Portal

System Serial Nr: 702199

Full Problem Description: 
The system fails to come on after being started oly LEDs blinking. Kindly see the attached short Video clip.

RSN available: N/A

Attachment(s): Short video clip

Kindly assist.

Regards,",ISP server not turning on.,,,
Hardware,wechat:01/IntelliSpace Portal Solutions/,wechat:01/IntelliSpace Portal Solutions/,,,
Hardware,It is not turning on after power outage in the electrical network.,It is not connecting after the power outage of the electrical network.,,,
Hardware,"The server is working, but no result comes up. 

See the attached e-mail from the customer.",Server is working but no result comes up,,,
Hardware,LS Quote,LS Quote,,,
Hardware,Wechat:05R/IntelliSpace Portal Solutions/ RW DVD error,Wechat:05R/IntelliSpace Portal Solutions/ RW DVD error,,,
Hardware,05R/Extended Brilliance Workspace/FANS,05R/Extended Brilliance Workspace/FANS,,,
Hardware,01/IntelliSpace IX/LX Workstations/Add Printer,01/IntelliSpace IX/LX Workstations/Add Printer,,,
Hardware,02N/IntelliSpace Portal Solutions/Keyboard&Mouse,02N/IntelliSpace Portal Solutions/Keyboard&Mouse,,,
Hardware,Printing problem on the examinations and the patient file on the console.,Probleme impression,,,
Hardware,Wechat:05R/Extended Brilliance Workspace/need part,Wechat:05R/Extended Brilliance Workspace/need part,,,
Hardware,02N/IntelliSpace IX/LX Workstations/system fault,02N/IntelliSpace IX/LX Workstations/system fault,,,
Hardware,01/IntelliSpace Portal Solutions/workstation cannot be opened,01/IntelliSpace Portal Solutions/workstation cannot be opened,,,
Hardware,"An urgent intervention is needed to turn the HP Z4 Workstation, SN CZC101BPX3, off due to flooding of the premises. 
CAT Covid.",Urgent rekindling of the workstation is required,,,
Hardware,The workstation is not opening,The workstation is not opening,,,
Hardware,Unable to access the workastation does not read the studies,You can not access the workstation no lauda the exams,,,
Hardware,The tomography workstation is locking. The doctor is having difficulties performing the reports.,Tomography workstation is locking. The medical is having difficulty performing the reports.,,,
Hardware,Customer requested an investigation about Windows Update status in local ISPv10 server,ISPv10: Windows Update service investigation,,,
Hardware,SA:05R/Extended Brilliance Workspace/Need keyboard and mouse,SA:05R/Extended Brilliance Workspace/Need keyboard and mouse,,,
Hardware,02N/Upgrades IntelliSpace Portal//System halt,02N/Upgrades IntelliSpace Portal//System halt,,,
Hardware,05R/Extended Brilliance Workspace/mouse and keyboard,05R/Extended Brilliance Workspace/mouse and keyboard,,,
Hardware,Portal does not work.,Portal does not work,,,
Hardware,CD writer is not functioning,CD writer is not functioning,,,
Hardware,QO- CVR drive needs to be replaced,QO- CVR drive needs to be replaced,,,
Hardware,cd drive issue,cd drive issue,,,
Hardware,CD writing is not functioning,CD writing is not functioning,,,
Hardware,"EOS - The application server is not launching at all.
( Customer claims that the EOS has been extended till March or April)",EOS - The application server is not launching at all.,,,
Hardware,Requires sever connection fixed.,Requires sever connection fixed.,,,
Hardware,01/IntelliSpace IX/LX Workstations/print fault,01/IntelliSpace IX/LX Workstations/print fault,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/hard disk failure,SA:05R/IntelliSpace Portal Solutions/hard disk failure,,,
Hardware,05R/Extended Brilliance Workspace/Can't start the machine,05R/Extended Brilliance Workspace/Can't start the machine,,,
Hardware,ISP system mouse is not functioning,ISP system mouse is not functioning,,,
Hardware,This device is DOWN because it has LOST the USER DATABASE,This device is DOWN because it has LOST the USER DATABASE,,,
Hardware,Wechat:05K/IntelliSpace Portal Solutions/Workstation stuck,Wechat:05K/IntelliSpace Portal Solutions/Workstation stuck,,,
Hardware,05K/IntelliSpace IX/LX Workstations/can't recorder DVD,05K/IntelliSpace IX/LX Workstations/can't recorder DVD,,,
Hardware,Wechat:SA:OCAP:05R/IntelliSpace IX/LX Workstations/Recorder failure,Wechat:SA:OCAP:05R/IntelliSpace IX/LX Workstations/Recorder failure,,,
Hardware,DVD writer not functioning,DVD writer not functioning,,,
Hardware,CD writer is not functioning,CD writer is not functioning,,,
Hardware,"Problem in the reconstructor, failure in recording the exam","Problem in reconstruct, fails to record the exam",,,
Hardware,One of the client systems is not functioning,One of the client systems is not functioning,,,
Hardware,Reporting system is hanging,Reporting system is hanging,,,
Hardware,WeChat:SA:05K/IntelliSpace IX/LX Workstations/Modify the parameters,WeChat:SA:05K/IntelliSpace IX/LX Workstations/Modify the parameters,,,
Hardware,"Reported problem: There is a workstation that does not allow to measure linearly - IP 1042206250
Location of the equipment: Clinical Hospital - Cardiology
When did the failure happen?: Yesterday
When will the equipment be available for intervention? What is the best day or time?: As soon as possible
Was the equipment in clinical use when the failure occurred?: Yes",There is a work settings that do not allow linear measuring - IP 1042206250,,,
Hardware,RAM damaged in the ISP Portal 1 server,RAM Daped on the ISP portal server 1,,,
Hardware,Data is showing full in workstation,Data is showing full in workstation,,,
Hardware,: ISP clinic slave server failure,ISP Clinic Slave Server Storing,,,
Hardware,THE WORKSTATION DOES NOT ENABLE THE FUNCTIONS,The workstation does not enable functions,,,
Hardware,Workstation not getting on.,Workstation not working,,,
Hardware,05R/IntelliSpace IX/LX Workstations/add printer,05R/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,"MES: SR-1404953.

We are installing our Intellispace onto a workstation in the breast screening service in Worcester so they can jointly report the breast MRI, and they are having problems as per thread?..

Message from engineer trying to install, (network has been checked.)

I?ve installed the Intellispace software on my PC but when I perform a Verify Connection task I get the below Server Film Services failure and the launching workflow Login Hangs and then Times out connecting to the server saying that the Server Time is out of Sync? It then opens the Intellispace icon in the taskbar and then it just disappears :",We are installing our Intellispace onto a workstation in the breast screening service in Worcester so they can...,,,
Hardware,The workstation does not read the external CDs.,problemi con workstation,,,
Hardware,The space on disk D of the Portal appears to be depleted again.,Spazio exhausted on Portal.,,,
Hardware,"It does not recognize the work station, asks for validation and it does not work",does not recognize the state of trablaho asks for validation and not certain,,,
Hardware,A server is down,A server is down,,,
Hardware,.61 server Rabbit MQ service,.61 server Rabbit MQ service,,,
Hardware,reboot due to high server uptime - preventive maintenance,ISP server reboot,,,
Hardware,Workstation is not booting up,Workstation is not booting up,,,
Hardware,Workstation is not booting,Workstation is not booting,,,
Hardware,SA:01/IntelliSpace IX/LX Workstations/record issue,SA:01/IntelliSpace IX/LX Workstations/record issue,,,
Hardware,"Issue: Malfunction
Error description: Unfortunately DynaCad prostate gland currently does not work, possibly missing nodes again? 
Customer would have a biopsy on Tuesday. 

Contact person: Dr. Persigehl, email: thorsten.persigehl@uk-koeln.de","Unfortunately, Dynacad Prostate does not work",,,
Hardware,Workstation is not opening,Workstation n?o esta abrindo,,,
Hardware,Proactive reference 0120753759 power supply fault,Remote Alert: Power Supply Detected a Failure,,,
Hardware,05R/IntelliSpace IX/LX Workstations/quick film failed,05R/IntelliSpace IX/LX Workstations/quick film failed,,,
Hardware,Wechat:02N/IntelliSpace IX/LX Workstations/Keyboard failure,Wechat:02N/IntelliSpace IX/LX Workstations/Keyboard failure,,,
Hardware,02N/IntelliSpace Portal Solutions/Film does not print,02N/IntelliSpace Portal Solutions/Film does not print,,,
Hardware,Fiber Trak is not functioning,Fiber Trak is not functioning,,,
Hardware,ISP server is not booting,ISP server is not booting,,,
Hardware,It does not match the rooms.,Does not combine the rooms,,,
Hardware,CD writer is not functioning,CD writer is not functioning,,,
Hardware,DVD drive is not functioning,DVD drive is not functioning,,,
Hardware,"ISP  is  hanging, reporting is not happening","ISP  is  hanging, reporting is not happening",,,
Hardware,"Please check the addresses of his two burners.

MRI burner robot Scanner burner
AET: BE-BURNER-I AET: BE-BURNER-S
Port: 104 Port: 104
IP: 10.10.102.179 IP: 10.10.102.169

Kind regards",ISP - B?zannes- A launch of sending the MRI engraver,,,
Hardware,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,Preventive maintenance - Westmoreland regional hospital,,,
Hardware,Machine is getting hang,Machine is getting hang,,,
Hardware,System not booting,System not booting,,,
Hardware,into,AVW15/MRC: Unable to scroll images using key board when play cine in viewing page (TFS DEFECT1481411),,,
Hardware,trying to get application/portal to open up for calcium scorings  *Location Change* equipment located at 1562 opossumtown pike frederick md 21702 (acct# 0094294460),trying to get application/portal to open up for calcium scorings  *Location Change* equipment located at 1562...,,,
Hardware,Wechat:02N/IntelliSpace IX/LX Workstations/,Wechat:02N/IntelliSpace IX/LX Workstations/,,,
Hardware,05K FOR IB/IntelliSpace IX/LX Workstations/Disc failure,05K FOR IB/IntelliSpace IX/LX Workstations/Disc failure,,,
Hardware,The external HDD is not recognized.,SS:???HDD???????,,,
Hardware,05R/IntelliSpace IX/LX Workstations/workstation issue,05R/IntelliSpace IX/LX Workstations/workstation issue,,,
Hardware,CD writer is not functioning,CD writer is not functioning,,,
Hardware,Wechat:05R/Brilliance Workspace Portal/Move,Wechat:05R/Brilliance Workspace Portal/Move,,,
Hardware,"Issue malfunction: 
We cannot start via DeepUnity, ISP. Error is here. I restarted the ISP server. But without success.
Can you check ISP whether everything is running correctly there?",ISP does not take over Impax Campus Kiel,,,
Hardware,ISP work flow server error,ISP work flow server error,,,
Hardware,02N/IntelliSpace Portal Solutions/add printer,02N/IntelliSpace Portal Solutions/add printer,,,
Hardware,Workstation is not functioning,Workstation is not functioning,,,
Hardware,"Issue: Connection modality
Performance description: Registration of a new modality in the ISP. Customer will provide appointment and technical parameters of the ISP
IP address 10.7.194.25
AE Title HGK_ISP_001
Port 104
Further: see lettering for further data",Registration of a new modalite in the ISP. Customer delivers the appointment and technical parameters of the ISP,,,
Hardware,into,ISP12 CT CS Sometimes the Findings in the Reports show the text 'Score' instead of the required value,,,
Hardware,Report came over and need to restart services.,Report came over and need to restart services.,,,
Hardware,Replacement of disk recording unit,DISCS REGISTRATOR REPLACEMENT,,,
Hardware,05R/IntelliSpace Portal Solutions/DVD burner fault,05R/IntelliSpace Portal Solutions/DVD burner fault,,,
Hardware,SA:05R/Extended Brilliance Workspace/Hard disk &software,SA:05R/Extended Brilliance Workspace/Hard disk &software,,,
Hardware,Wechat:SA:05L/IntelliSpace Portal/cannot boot,Wechat:SA:05L/IntelliSpace Portal/cannot boot,,,
Hardware,01/IntelliSpace IX/LX Workstations/burn failure,01/IntelliSpace IX/LX Workstations/burn failure,,,
Hardware,Workstation Mouse is not functioning,Workstation Mouse is not functioning,,,
Hardware,01/Extended Brilliance Workspace/need software DVD,01/Extended Brilliance Workspace/need software DVD,,,
Hardware,05R/IntelliSpace Portal Solutions/harddisk damage,05R/IntelliSpace Portal Solutions/harddisk damage,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,Preventive maintenance - Server Uptime,Preventive maintenance - Server Uptime,,,
Hardware,Preventive maintenance - Server Uptime,Preventive maintenance - Server Uptime,,,
Hardware,Preventive maintenance - Server Uptime,Preventive maintenance - Server Uptime,,,
Hardware,Preventive maintenance - Server Uptime,Preventive maintenance - Server Uptime,,,
Hardware,PAPER PRINTERS AND DICOM PRINTERS ARE DISABLED FROM THE INTELLSPACE PRINTER LIST WHEN PRINTING.,IMPRESORAS DE PAPEL E IMPRESORAS DICOM SE DESACTIVAN DE LA LISTA DE IMPRESORAS DE INTELLSPACE  AL MOMENTO DE IMPRIMIR,,,
Hardware,01/IntelliSpace IX/LX Workstations/Unable to film,01/IntelliSpace IX/LX Workstations/Unable to film,,,
Hardware,02N/IntelliSpace Portal Solutions/DVD driver fault,02N/IntelliSpace Portal Solutions/DVD driver fault,,,
Hardware,"Since the planned power cut on the 19th, the client has been slealing, >> restarting the server did not solve the problem.",01DS:RS:19??????????????????????>>???????????????,,,
