PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
2924015,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",Problem with the ISP console,"Problem with the ICS console, it goes into failure, no printing.",A
2924448,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",pb disk raid HS,Problem: raid disk out of operation.,A
2924853,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",0902CDN70S09 Neither one of disc drives are working to burn cd's,Neither one of disc drives are working to burn cd's,A
2925586,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: CAMBRIDGE MEMORIAL HOSPITAL (ISPv10.1.3),Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2925693,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: GEORGE L DUMONT HOPITAL (ISPv10.1.4),Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2925874,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: Royal Victoria Regional Health (ISPv11.1.4),Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2926635,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",SA:Escalation/IntelliSpace Portal Solutions,SA:Escalation/IntelliSpace Portal Solutions,A
2926858,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD drive is not working,CD drive is not working,A
2926912,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP system is not switching On,ISP system is not switching On,A
2926954,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Machine is not swtiching ON,Machine is not swtiching ON,A
2926967,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Mylear partially crack,Mylear partially crack,A
2926988,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",CD writer is not functioning and slow processing,CD writer is not functioning and slow processing,A
2927484,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",01/IntelliSpace Portal Solutions/PM tools,01/IntelliSpace Portal Solutions/PM tools,A
2927759,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",Instal USB Installation,Setting up internal USB key.,A
2927807,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",NM viewer crashing during reporting multiple workstations,During reporting sessions the NM viewer is randomly crashing on different workstations.,A
2928038,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Instal USB Installation,Setting up internal USB key.,A
2928476,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Degraded disk server MBRTISP03W12,"Degraded disk in server MBRTISP03W12
ISP serial: 701100

Physical Drive in Port 1I Box 1 Bay 3
Status Degraded (Predictive failure) 
Serial Number WFK0KNY4 
Model EG001200JWJNQ 
Media Type HDD 
Capacity 1200 GB 
Location Port 1I Box 1 Bay 3 
Firmware Version HPD0 
Drive Configuration Configured 
Encryption Status Not Encrypted",A
2928601,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",mouse not functioning,mouse not functioning,A
2928743,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",DVD Writer is not functioning,DVD Writer is not functioning,A
2930059,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Trying to find manufacturing date for the collimators,Trying to find manufacturing date for the collimators,A
2930415,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)",Not detected,VIP-CLIENTE-NO  RECONOCE CD?S Y NO MANDA ARCHIVOS AL INTELLISPACE.,VIP-CLIENT-IT DOES NOT RECOGNIZE CDs AND DOES NOT SEND FILES TO INTELLISPACE.,A
2932346,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",05K/IntelliSpace Portal Solutions/Use problems,05K/IntelliSpace Portal Solutions/Use problems,A
2935525,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Med360? zentraler Concerto in Leverkusen offline,"Disorder:
Failure:
The customer's central Concerto server in Leverkusen (internal IP 10.150.139.115, host ISP-RA-MAN-SV01) offline. Unfortunately, he has no further data for this system.
Login to ISP currently not possible via Windows user accounts.",A
2935756,Hardware,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",EBW system mouse and keyboard is not functioning properly,EBW system mouse and keyboard is not functioning properly,A
2935769,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning","workstation schermo blu, non funzionante","Blue screen, system is not working. Request for urgent intervention",A
2935953,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible","Physically damaged, deformed or not functioning",The system does not print the slabs.,The system does not print the plates.,A
2937336,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Preventive Maintenance: Stillwater Medical Center - Nuvodia Llc,Preventive maintenance case created for?server uptime/USB drive/localhost certificate/auto-delete verification,A
2937351,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",QUESTION ON HOW THE DEVICE WORKS,QUESTION ON HOW THE DEVICE WORKS,A
2937980,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",EBW blue screen,Keyboard not work,A
2939022,Hardware,"Device, System or Product Hardware",Media storage (e.g. SAN - Storage Area Network),"Physically damaged, deformed or not functioning",Spazio exhausted on Portal,No space on Portal,A
2941811,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Mirror 0121086725 - Working work does not record records,MIRROR 0121086725 - THE WORKSTATION DOES NOT RECORD DISKS,A
2942153,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",NO CARRES IN THE SYSTEM,It does not load to the system,A
2942814,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Reload Primary and Secondary servers,Reload Primary and Secondary servers on new VMs,A
2943319,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",05R/Extended Brilliance Workspace/The display screen is broken,05R/Extended Brilliance Workspace/The display screen is broken,A
2943393,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",WeChat?05R/IntelliSpace Portal Solutions/The server can't start,WeChat?05R/IntelliSpace Portal Solutions/The server can't start,A
2944164,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ISP functionality verification,Check ISP functionality,A
2944344,Hardware,"Reports, Records and Exams","Incorrect, inaccurate, imprecise, or unexpected result",Report did not generate,Dynacad report black images,When saving an auto report the images are black in the report,A
