PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5489199,Complaint,"DISCONNECTION WAS LOST, IT NO LONGER SENDS THE STUDIES FROM THE PC THAT TAKES THE DATA TO THE POST-PROCESS ONE.",Image Related,Imaging and Images,Image routing,Cannot route image,Software,Software Issues (e.g. bugs),
5489526,Complaint,"05R/	Extended Brilliance Workspace/images transfer to pacs failed",Image Related,Imaging and Images,Image routing,Cannot route image,Network - Communication,Customer Network issue,
5489635,Complaint,Unable to transfer data from reporting system to console system unable to copy data in pendrive,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,ICAP-Portal Server,Resolved by SW Reinstall,
5489678,Complaint,ISP Workstation DVD drive was not working.,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5489738,Complaint,05R/Extended Brilliance Workspace/Unable to power on,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Software,Software malfunction,
5489791,Complaint,Only 2 users work to access the PORTAL.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Use Error,Other use error,
5489847,Complaint,"EOS - cannot log in, authentication source not found",Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,Unable to determine cause - Insufficient information,
5490101,Complaint,02N/IntelliSpace IX/LX Workstations/user locked,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,ICAP-Portal Server,User access/Login,
5490105,Complaint,"KA:05L/IntelliSpace Portal Solutions/confirm the problem: reconstruction error, there seems to be a problem in the app",Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,User access,
5490303,Complaint,Some studies are not transferring from ISP to DynaCAD,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,,,
5490375,Complaint,"Using HeartBeat-CS and sending selected images to report"", images do not appear in the report, only an empty box...",Image Related,Imaging and Images,Cannot view or access image(s),into,,,
5490430,Complaint,KA:05K/IntelliSpace Portal Solutions/HDD failure,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive,
5490507,Complaint,AVW15 MR Cardiac Discrete reporting results send 4 times to MModal,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5490771,Complaint,FM: Connection failed Transferring images to the IST program does not work from both MRI machines.,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Server,Restart resolved,
5490891,Complaint,ISP5 Brain images is shown with different color than expected,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Software,Software/Firmware Settings and Configuration,
5490921,Complaint,CD Writer is not functioning,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5491085,Complaint,"Storage full error, the customer was unable to transfer the patient data from MR to ISP System",Image Related,Imaging and Images,Image routing,Cannot route image,Database,Database Full/Corrupt,
5491315,Complaint,Users report that they cannot access IS Portal.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Confirmed,Restart resolved,
5491326,Complaint,"cannot open the portal, they cannot see the images in the station.",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Confirmed,Restart resolved,
5491327,Complaint,CD writer is not functioning,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5491609,Complaint,Hard disk is at 0% of its capacity.,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Use Error,User Error,
5491727,Complaint,Message: memory is full.,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,ICAP-Hardware,Disk Drive,
5491754,Complaint,Users cannot use App for ASL and cannot use DWI - Stuck in processing,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,,
5491811,Complaint,Certificate error in PET viewer,Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate,
5491955,Complaint,Permissions lost and not sync at the servers,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not syncing or updating, data does not populate",Software,Software malfunction,
5492468,Complaint,"Bumika calledand requested are not able to launch NET backup console , and they need assistancek52410563",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Unable to Confirm/Replicate Allegation,No problem found,
5493120,Complaint,Hot case A&B:KA:05R/IntelliSpace Portal Solutions/transfer problem,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Use Error,Other use error,
5493169,Complaint,01/IntelliSpace IX/LX Workstations/ISP can't login,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5493191,Complaint,02N/IntelliSpace IX/LX Workstations/add printer,Others,Non-Complaint,Non-Complaint,into,,,
5493202,Complaint,02N/ISP/equipment installation,Others,Non-Complaint,Non-Complaint,into,,,
5493258,Complaint,SA:05L/Precedence 6 Slice/The program cannot be opened,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",into,,,
5493529,Complaint,05R/IntelliSpace IX/LX Workstations/application can not login,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,ICAP-Hardware,Disk Drive,
5493669,Complaint,Wechat:KA:01/Extended Brilliance Workspace NM/The optical drive is damaged,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive,
5493865,Complaint,Spectral plot in AVW15.0.6 crashed,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,,
5494018,Complaint,6600698321.01/assembly by a partner,Others,Non-Complaint,Non-Complaint,into,,,
5494067,Complaint,6600692990.01/assembly by a partner,Others,Non-Complaint,Non-Complaint,into,,,
5494545,Complaint,ISP10 customer like ability to set Dicom nodes viewable only to some users,Others,Non-Complaint,Enhancement Request,into,,,
5494663,Complaint,Cybersecurity,Software,Privacy or security,Vulnerability,Thing,,,
5494718,Complaint,Error message appears on the workstation of nuclear medicine.,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Software,User access,
5494725,Complaint,05KFORIB/IntelliSpacePortalSolutions/Transfer fail,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Configuration,Configuration Issues,
5494814,Complaint,"Wechat:05K/Wechat:05K/	IntelliSpace Portal Solutions/Install client",Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,ICAP-Portal client,Resolved by SW Reinstall,
5494863,Complaint,"Unable to use review program, Philips Advanced Visualization Workspace does not work",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Use Error,Other use error,
